AREA,PERIMETER,Ing_Eg,Rd_Maint,Rd_Width,Rd_Cond,Fire_Acc,St_Sign,Strc_Den,Hm_Set,Un_Lands,Priv_Act,Prox_Wild,SUBD_TOT,Prox_Flam,Veg_Type,Fuel_Load,Fuel_Strc,Def_Space,VEG_TOT,Roof_Asmb,Sid_Sof,Undr_Skrt,Utlty_Plmt,Strc_Ign,BLDG_TOT,Slope,Avg_Rain,Prev_Wind,Seas_Haz,Ign_Risk,Top_Adv,FIREHAZTOT,Wat_Avail,Ofst_Wat,Rspn_Time,Prox_Stn,FD_Trng,Wild_Cap,Loc_Ops,Com_Plan,Com_FirPrg,FIREPROTOT,OVRLHAZTOT,Acres,AreaName,Island,IntAgCoop,CAR_Rating,zone,CAR_Hawaii,CAR_adjtot
2094.103,9.375,3,2,2,1,3,1,1,1,3,2,3,22,3,2,3,2,1,11,1,2,2,3,1,9,3,3,2,2,2,3,15,2,0,2,2,2,2,2,1,2,15,0,2094.10275761000,Olinda,Maui,1,Very High,,36.00000000000,65
1224.695,6.423,1,1,2,1,2,1,2,1,1,2,2,16,3,1,2,1,2,9,1,2,2,3,2,10,2,3,2,1,1,3,12,1,0,1,3,2,2,2,1,2,14,0,1224.69473523000,Pukalani,Maui,1,Very High,,32.00000000000,62
1782.893,8.247,2,1,1,1,2,1,1,1,2,1,3,16,2,1,2,1,1,7,1,2,2,1,1,7,3,3,3,2,2,3,16,1,0,1,1,2,2,2,1,2,12,0,1782.89313009000,Kula,Maui,1,Moderate,,21.00000000000,55
2634.497,11.793,2,2,1,1,2,1,2,1,2,2,2,18,2,2,1,1,2,8,2,2,2,3,2,11,3,4,3,3,2,3,18,1,0,1,1,2,2,2,1,2,12,0,2634.49708687000,Lower Kula,Maui,1,Extreme,,40.00000000000,64
1979.473,11.849,2,2,2,1,2,1,1,1,3,2,3,20,2,2,2,2,2,10,2,2,2,2,2,10,3,3,2,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,1979.47327013000,Upper Kula,Maui,1,High,,36.00000000000,62
3407.607,10.359,1,2,2,1,1,1,2,1,1,2,2,16,2,2,2,2,1,9,1,2,3,3,2,11,3,3,2,3,3,3,17,1,0,1,1,2,2,2,1,2,12,0,3407.60704164000,Keokea-Waiohuli Hmstds,Maui,1,Very High,,36.00000000000,63
2994.664,10.438,2,2,2,1,2,2,1,2,3,2,3,22,3,2,1,2,2,10,1,2,3,3,2,11,3,5,2,3,3,3,19,1,0,1,1,2,2,2,1,2,12,0,2994.66449781000,Kula Hawaiian Hmstds,Maui,1,Extreme,,36.00000000000,70
847.381,7.571,2,1,2,1,1,1,2,2,2,1,3,18,2,2,2,2,1,9,2,1,1,1,1,6,1,6,3,3,3,1,17,1,0,1,1,2,2,2,1,2,12,0,847.38051830700,Makena,Maui,1,High,,36.00000000000,62
6103.539,19.925,1,2,2,1,2,1,2,2,3,2,3,21,3,2,2,2,2,11,2,2,2,3,2,11,1,6,3,3,3,1,17,1,0,1,1,2,2,2,1,2,12,0,6103.53873450000,Kihei,Maui,1,Extreme,,40.00000000000,69
401.223,3.065,2,2,3,1,2,2,1,1,3,2,3,22,3,2,2,2,1,10,1,2,3,3,2,11,3,3,4,3,2,3,18,2,0,3,3,2,2,2,1,2,17,0,401.22329441600,Ulupalakua,Maui,1,Extreme,,40.00000000000,68
4819.731,14.974,2,2,2,1,2,1,1,1,3,2,3,20,3,2,2,3,2,12,1,2,2,3,3,11,3,3,2,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,4819.73121134000,Waiakoa,Maui,1,Extreme,,40.00000000000,70
4366.195,18.656,3,2,3,1,3,2,1,1,2,2,2,22,1,2,2,2,2,10,1,2,3,3,2,11,3,3,4,3,3,3,19,3,0,3,3,2,2,2,1,2,18,0,4366.19505236000,Kaupo,Maui,1,Extreme,,40.00000000000,
59.679,2.000,3,2,3,1,3,2,1,1,2,2,2,22,1,2,2,2,2,9,1,2,3,3,2,11,2,2,3,1,1,3,12,3,0,2,2,2,2,2,1,2,17,0,59.67941698590,Puuiki,Maui,1,Low,,11.00000000000,
